Financial_Year,Force_Name,Offence_Group,Force_Offences,Force_No_Crimes
2011/12,Avon & Somerset,Burglary,13446,523
2011/12,Avon & Somerset,Criminal damage,18871,970
2011/12,Avon & Somerset,Drug offences,7043,112
2011/12,Avon & Somerset,Fraud and forgery,3586,2029
2011/12,Avon & Somerset,Offences against vehicles,10305,608
2011/12,Avon & Somerset,Other offences,1373,208
2011/12,Avon & Somerset,Other theft offences,32919,2710
2011/12,Avon & Somerset,Robbery,1210,129
2011/12,Avon & Somerset,Sexual offences which are rape,481,53
2011/12,Avon & Somerset,Total Sexual offences,1714,166
2011/12,Avon & Somerset,Violence against the person,24719,2332
2011/12,Bedfordshire,Burglary,5559,88
2011/12,Bedfordshire,Criminal damage,6857,71
2011/12,Bedfordshire,Drug offences,1740,27
2011/12,Bedfordshire,Fraud and forgery,1530,211
2011/12,Bedfordshire,Offences against vehicles,4790,214
2011/12,Bedfordshire,Other offences,500,69
2011/12,Bedfordshire,Other theft offences,10376,244
2011/12,Bedfordshire,Robbery,851,45
2011/12,Bedfordshire,Sexual offences which are rape,67,8
2011/12,Bedfordshire,Total Sexual offences,349,25
2011/12,Bedfordshire,Violence against the person,8243,256
2011/12,British Transport Police,Burglary,645,20
2011/12,British Transport Police,Criminal damage,5421,184
2011/12,British Transport Police,Drug offences,3593,47
2011/12,British Transport Police,Fraud and forgery,860,21
2011/12,British Transport Police,Offences against vehicles,1953,139
2011/12,British Transport Police,Other offences,1149,51
2011/12,British Transport Police,Other theft offences,25732,1554
2011/12,British Transport Police,Robbery,607,58
2011/12,British Transport Police,Sexual offences which are rape,14,3
2011/12,British Transport Police,Total Sexual offences,740,22
2011/12,British Transport Police,Violence against the person,12238,226
2011/12,Cambridgeshire,Burglary,6297,108
2011/12,Cambridgeshire,Criminal damage,8232,197
2011/12,Cambridgeshire,Drug offences,2994,147
2011/12,Cambridgeshire,Fraud and forgery,1893,292
2011/12,Cambridgeshire,Offences against vehicles,4790,141
2011/12,Cambridgeshire,Other offences,697,120
2011/12,Cambridgeshire,Other theft offences,16483,545
2011/12,Cambridgeshire,Robbery,417,32
2011/12,Cambridgeshire,Sexual offences which are rape,193,17
2011/12,Cambridgeshire,Total Sexual offences,696,40
2011/12,Cambridgeshire,Violence against the person,9159,317
2011/12,Cheshire,Burglary,7668,152
